,precision,recall,f1-score,support
CNV,0.8169491525423729,0.9958677685950413,0.8975791433891993,242.0
DME,0.9910714285714286,0.9173553719008265,0.9527896995708155,242.0
DRUSEN,0.9895287958115183,0.78099173553719,0.8729792147806005,242.0
NORMAL,0.9341085271317829,0.9958677685950413,0.964,242.0
accuracy,0.9225206611570248,0.9225206611570248,0.9225206611570248,0.9225206611570248
macro avg,0.9329144760142757,0.9225206611570248,0.9218370144351538,968.0
weighted avg,0.9329144760142756,0.9225206611570248,0.9218370144351539,968.0
